session,depth,time,url,host,title
214d85c6-dbe8-43ae-bb06-96929af0216d,1,1790324577453,https://tvrinfo.ro/aeroportul-gatwick-din-londra-a-fost-inchis-o-noapte-din-cauza-unor-drone_839708/,tvrinfo.ro,Aeroportul Gatwick din Londra a fost închis o noapte din cauza unor drone - tvrinfo.ro
214d85c6-dbe8-43ae-bb06-96929af0216d,1,1790324577453,"https://www.polskieradio.pl/395/7785/Artykul/3583438,denmark-does-not-exclude-russian-involvement-in-drone-attack-that-shut-copenhagen-airport#1",polskieradio.pl,Denmark does not exclude Russian involvement in drone attack that shut Copenhagen Airport - Denmark does not exclude Russian involvement in drone attack that shut Copenhagen Airport
214d85c6-dbe8-43ae-bb06-96929af0216d,1,1790324577453,https://www.swissinfo.ch/fre/alerte-aux-drones-%c3%a0-munich%3a-arm%c3%a9e-en-renfort-et-trafic-stabilis%c3%a9/90112202#1,swissinfo.ch,Alerte aux drones à Munich: armée en renfort et trafic stabilisé - La voix de la Suisse dans le monde depuis 1935
214d85c6-dbe8-43ae-bb06-96929af0216d,1,1790324577453,https://www.ukrinform.ua/rubric-world/4167376-aeroport-berlina-pripinav-robotu-cerez-droni.html,ukrinform.ua,Аеропорт Берліна припиняв роботу через дрони
214d85c6-dbe8-43ae-bb06-96929af0216d,1,1790324577453,https://amp.rtve.es/noticias/20181220/aeropuerto-londinense-gatwick-cerrado-por-presencia-drones/1856460.shtml#1,amp.rtve.es,La presencia de drones obliga a cerrar el aeropuerto de Gatwick y atrapa a 100.000 pasajeros - La presencia de drones obliga a cerrar el aeropuerto de Gatwick y atrapa a 100.000 pasajeros
214d85c6-dbe8-43ae-bb06-96929af0216d,1,1790324577453,https://english.news.cn/20250923/376e3df80df643d49af17015c32524f8/c.html,english.news.cn,Drones force closure of Copenhagen Airport
214d85c6-dbe8-43ae-bb06-96929af0216d,1,1790324577453,https://www.rtp.pt/noticias/mundo/aeroporto-de-munique-reabre-apos-suspensao-de-voos-ditada-por-drones_n1688085#1,rtp.pt,Aeroporto de Munique reabre após suspensão de voos ditada por drones - Aeroporto de Munique reabre após suspensão de voos ditada por drones
214d85c6-dbe8-43ae-bb06-96929af0216d,1,1790324577453,https://today.rtl.lu/news/luxembourg/flights-temporarily-halted-at-findel-airport-due-to-drone-sightings-on-monday-726135408,today.rtl.lu,Update – Repeat incident: Flights temporarily halted at Findel Airport due to drone sightings on Monday
230a12e6-6703-4fa1-97a8-d3265be4edb1,1,1790324573838,https://ieeexplore.ieee.org/ielx8/10854677/10875987/10876042.pdf?tp=&arnumber=10876042&isnumber=10875987&ref=#6#2,ieeexplore.ieee.org,of automobiles without intersection signals
230a12e6-6703-4fa1-97a8-d3265be4edb1,1,1790324573838,https://ieeexplore.ieee.org/ielx8/10854677/10875987/10876038.pdf?tp=&arnumber=10876038&isnumber=10875987&ref=#12#1,ieeexplore.ieee.org,Can a Single Human Supervise a Swarm of 100 Heterogeneous Robots?
230a12e6-6703-4fa1-97a8-d3265be4edb1,1,1790324573838,https://breakingdefense.com/2025/12/its-alive-biden-era-replicator-drone-initiative-lives-on-as-dawg-looking-at-bigger-uass/?et_blog&mode=grid#1,breakingdefense.com,"‘It’s alive’: Biden-era Replicator drone initiative lives on as DAWG, looking at bigger UASs - Breaking Defense - SHOW COVERAGE:"
