path,nWriteActs,nWriteSessions,nReadActs,nReadSessions,firstWriterSession,firstWriteTime,firstWriteDepth,readsInheritingFromOtherSession,crossSession
findings/shabaab_attacks.txt,2,1,3,1,91004cb5-9eb3-4dce-a088-e6396350299a,1790324680614,2,0,False
findings/sudan_drone.txt,3,1,3,1,91004cb5-9eb3-4dce-a088-e6396350299a,1790324784990,2,0,False
findings/web_sudan_inventory.md,1,1,3,1,91004cb5-9eb3-4dce-a088-e6396350299a,1790325031192,2,0,False
research/scratch_no/dronestrategi.txt,0,0,3,1,,,,0,False
research/scratch_no/ntv2025.txt,0,0,3,1,,,,0,False
research/scratch_no/ntv2026.txt,0,0,3,1,,,,0,False
sources/aivd-2025.txt,0,0,3,2,,,,0,False
sources/eprs-dronewall.txt,1,1,3,2,dc0b75f5-7e62-49c9-a810-8793a1c7648f,1790329075990,1,0,False
sources/europol-unmanned-futures.pdf,1,1,3,3,7d77b175-ad9d-4569-ac05-e9e66bdc78b3,1790324771617,2,0,False
sources/iocta2025.txt,1,1,3,2,e8b3050c-765a-4f10-9bae-9fcc012336ae,1790327984714,2,0,False
sources/pdfs/gnet-sahel-drones.pdf,1,1,3,1,91004cb5-9eb3-4dce-a088-e6396350299a,1790324924847,2,0,False
/tmp/ctc.txt,0,0,2,1,,,,0,False
/tmp/f/oai_img.txt,0,0,2,1,,,,0,False
/tmp/f/pika.txt,0,0,2,1,,,,0,False
/tmp/f/resemble2.txt,0,0,2,1,,,,0,False
/tmp/final.md,0,0,2,1,,,,0,False
/tmp/policycenter-jnim-drones.txt,0,0,2,1,,,,0,False
/tmp/www_runpod_io_pricing.txt,0,0,2,1,,,,0,False
amplification/notes/cib-critiques.md,1,1,2,1,d07fdde4-91a3-4617-9341-d7100c77ab33,1790329912501,3,0,False
amplification/notes/minimal-effects.md,1,1,2,1,788b4f96-a913-4fb4-93d7-d44af41dd69e,1790329899934,3,0,False
amplification/notes/monitoring-localisation.md,5,1,2,1,bc7323c8-aee3-4194-a341-b6c18b1b0475,1790328304383,2,0,False
amplification/notes/physical-incidents.md,1,1,2,1,da3f0b85-eed0-4f76-9e18-fe1bac271b94,1790329905953,3,0,False
amplification/notes/raw-e/e7.txt,0,0,2,1,,,,0,False
amplification/notes/tmp_3aa7d57eebb308494cde85ab98ec8d47.txt,0,0,2,2,,,,0,False
amplification/notes/usc_propaganda.txt,0,0,2,2,,,,0,False
amplification/raw/meta/meta-security-threats.txt,2,1,2,1,dabeb4b9-b19b-4707-bb52-c02368aacf3c,1790328544299,3,0,False
amplification/raw/meta/meta-threat-disruptions.txt,1,1,2,1,dabeb4b9-b19b-4707-bb52-c02368aacf3c,1790328544299,3,0,False
amplification/raw/ms/ms-2024-08-iran-us-election.txt,1,1,2,1,dabeb4b9-b19b-4707-bb52-c02368aacf3c,1790328310296,3,0,False
amplification/raw/ms/ms-2024-10-influence.txt,1,1,2,1,dabeb4b9-b19b-4707-bb52-c02368aacf3c,1790328310296,3,0,False
amplification/raw/oa-russia-aug2026.txt,1,1,2,1,dabeb4b9-b19b-4707-bb52-c02368aacf3c,1790328057997,3,0,False
amplification/raw/oa-trolling-stone.txt,1,1,2,1,dabeb4b9-b19b-4707-bb52-c02368aacf3c,1790328057997,3,0,False
amplification/raw/openai/oa-2024-05-iuvm.txt,1,1,2,1,dabeb4b9-b19b-4707-bb52-c02368aacf3c,1790328355811,3,0,False
amplification/raw/openai/oa-2026-06-data-center-bandwagon.txt,0,0,2,1,,,,0,False
amplification/raw/tag-index.txt,0,0,2,1,,,,0,False
amplification/raw/wiki2001.txt,0,0,2,1,,,,0,False
amplification/research/00-raw/aivd-ar2024-en.txt,1,1,2,1,ed3f5438-bc1e-4e73-a3eb-c39a1a6720c4,1790328860633,2,0,False
amplification/research/00-raw/aivd-inlichtingenwoordenboek.txt,1,1,2,1,ed3f5438-bc1e-4e73-a3eb-c39a1a6720c4,1790328659070,2,0,False
amplification/research/00-raw/aivd-jv2025-cyber.txt,0,0,2,1,,,,0,False
amplification/research/00-raw/bsi-lagebericht-2024.txt,1,1,2,1,ed3f5438-bc1e-4e73-a3eb-c39a1a6720c4,1790328728652,2,0,False
amplification/research/00-raw/css-analyse244-de.txt,0,0,2,1,,,,0,False
amplification/research/00-raw/eu-cdt-9916-2017.txt,0,0,2,1,,,,0,False
amplification/research/00-raw/nl-cyberstrategie-2022-2028.txt,0,0,2,1,,,,0,False
amplification/research/00-raw/uk-integrated-review-2021.txt,1,1,2,1,ed3f5438-bc1e-4e73-a3eb-c39a1a6720c4,1790328761798,2,0,False
amplification/research/00-raw/uk-ncs2022.txt,0,0,2,1,,,,0,False
amplification/research/01-attribution.md,3,1,2,1,ed3f5438-bc1e-4e73-a3eb-c39a1a6720c4,1790329022432,2,0,False
amplification/research/05b-reporting-protocols.md,4,1,2,1,1deec50d-0878-4863-bb81-61106e0e28a5,1790328472308,3,0,False
amplification/research/a1-bbw-ncid-response.txt,0,0,2,1,,,,0,False
amplification/research/a1-bbw-secret-policies.txt,0,0,2,1,,,,0,False
amplification/research/a1-lords-library-disinformation-2026.txt,0,0,2,2,,,,0,False
amplification/research/a2-eeas-3rd-report-page.txt,1,1,2,1,74e3962c-673c-4068-90c4-60d02d23773c,1790328747611,3,0,False
amplification/research/a2-eeas-fimi-hub.txt,0,0,2,2,,,,0,False
amplification/research/a2-euvsdisinfo-about.txt,1,1,2,1,74e3962c-673c-4068-90c4-60d02d23773c,1790328747611,3,0,False
amplification/research/a3-carnegie-evidence-guide.txt,0,0,2,2,,,,0,False
